Date, Close/Last, Volume, Open, High, Low
09/22/2020, $85.85, 598359, $85.88, $86.59, $84.68
09/21/2020, $85.33, 685717, $84.37, $85.35, $82.87
09/18/2020, $86.11, 1475623, $86.74, $87.94, $84.59
09/17/2020, $86.7, 804880, $85.84, $86.72, $85.06
09/16/2020, $87.8, 574152, $89.35, $89.6011, $87.66
09/15/2020, $88.32, 780270, $86.25, $88.49, $86.12
09/14/2020, $85.4, 762797, $83.32, $85.74, $83
09/11/2020, $82.3, 1402953, $83.77, $84.17, $80.94
09/10/2020, $83.77, 1507264, $88.74, $91.28, $83.64
09/09/2020, $88.6, 500651, $87.74, $89.3096, $87.05
09/08/2020, $86.71, 1037649, $83.9929, $88.62, $83.9929
09/04/2020, $87.69, 1166076, $92.04, $92.06, $86.915
09/03/2020, $92.64, 1035899, $96.12, $96.59, $91.82
09/02/2020, $97.6, 748349, $95.32, $97.67, $94.765
09/01/2020, $95.44, 773951, $91.5, $95.59, $91.38
08/31/2020, $91.41, 763788, $91.15, $91.94, $90.5015
08/28/2020, $91.15, 381080, $89.87, $91.25, $89.74
08/27/2020, $89.42, 629278, $89.75, $89.94, $88.27
08/26/2020, $89.78, 894250, $89.54, $90.55, $87.65
08/25/2020, $88.14, 485846, $86.85, $88.2, $86.68
08/24/2020, $87.1, 516869, $87.84, $88.025, $86.35
08/21/2020, $87.36, 1039734, $87.92, $87.92, $86.74
08/20/2020, $88.03, 440277, $88.4, $88.425, $87.61
08/19/2020, $88.54, 784302, $89.84, $90.36, $88.46
08/18/2020, $89.85, 839882, $88.82, $90.53, $88.69
08/17/2020, $88.22, 545065, $88, $88.92, $87.85
08/14/2020, $87.48, 551137, $87.72, $88.01, $86.86
08/13/2020, $88.06, 711286, $86, $89.15, $85.92
08/12/2020, $85.92, 461220, $85.23, $86.83, $85.13
08/11/2020, $84.8, 577944, $86, $86.68, $84.64
08/10/2020, $85.9, 417151, $86.57, $86.96, $84.81
08/07/2020, $86.94, 533659, $88, $88.61, $86.03
08/06/2020, $88.59, 542051, $87.95, $88.73, $87.05
08/05/2020, $87.88, 481775, $87, $88.85, $87
08/04/2020, $86.6, 562826, $86.37, $86.96, $85.37
08/03/2020, $86.35, 693299, $85.98, $86.99, $85.77
07/31/2020, $85.56, 994132, $88, $88.8, $83.74
07/30/2020, $85.58, 1270134, $86.48, $86.79, $82.12
07/29/2020, $84.03, 608609, $83, $84.73, $83
07/28/2020, $82.25, 610050, $84, $84.0975, $82.09
07/27/2020, $83.14, 623809, $83, $83.56, $81.01
07/24/2020, $81.46, 702043, $82.6, $83.09, $80.735
07/23/2020, $83.61, 624466, $83.51, $85.43, $82.87
07/22/2020, $83.83, 408043, $84.16, $84.59, $83.51
07/21/2020, $83.15, 642654, $84.91, $85.06, $83
07/20/2020, $83.03, 589039, $81.08, $83.24, $81.06
07/17/2020, $80.75, 768347, $81.02, $81.32, $79.99
07/16/2020, $80.36, 1066182, $82.65, $82.65, $79.305
07/15/2020, $80.28, 568519, $79.78, $80.92, $78.825
07/14/2020, $78.41, 1226597, $77.98, $78.6, $76.15
