Date, Close/Last, Volume, Open, High, Low
04/09/2019, 97.515, 288286, 97.495, 97.525, 97.49
04/08/2019, 97.495, 162193, 97.51, 97.535, 97.49
04/05/2019, 97.505, 325274, 97.51, 97.515, 97.48
04/04/2019, 97.515, 274928, 97.52, 97.545, 97.505
04/03/2019, 97.52, 345816, 97.545, 97.55, 97.505
04/02/2019, 97.54, 308553, 97.52, 97.56, 97.52
04/01/2019, 97.525, 531570, 97.56, 97.58, 97.515
03/29/2019, 97.57, 550184, 97.605, 97.61, 97.55
03/28/2019, 97.62, 464255, 97.65, 97.675, 97.585
03/27/2019, 97.64, 825327, 97.595, 97.68, 97.595
03/26/2019, 97.6, 587534, 97.635, 97.645, 97.575
03/25/2019, 97.635, 898417, 97.555, 97.675, 97.54
03/22/2019, 97.55, 824557, 97.45, 97.58, 97.45
03/21/2019, 97.45, 405412, 97.455, 97.475, 97.445
03/20/2019, 97.45, 550318, 97.4, 97.46, 97.395
03/19/2019, 97.4, 288032, 97.405, 97.405, 97.39
03/18/2019, 97.4, 215814, 97.41, 97.41, 97.39
03/15/2019, 97.41, 259496, 97.395, 97.425, 97.39
03/14/2019, 97.4, 292925, 97.39, 97.405, 97.375
03/13/2019, 97.41, 303983, 97.4, 97.41, 97.38
03/12/2019, 97.4, 328395, 97.365, 97.405, 97.35
03/11/2019, 97.37, 276711, 97.385, 97.39, 97.365
03/08/2019, 97.385, 346771, 97.38, 97.42, 97.37
03/07/2019, 97.38, 351508, 97.34, 97.38, 97.34
03/06/2019, 97.34, 312436, 97.325, 97.35, 97.315
03/05/2019, 97.32, 321270, 97.34, 97.34, 97.3
03/04/2019, 97.34, 259836, 97.325, 97.345, 97.305
03/01/2019, 97.325, 378456, 97.36, 97.365, 97.32
02/28/2019, 97.36, 411965, 97.385, 97.4, 97.345
02/27/2019, 97.38, 319002, 97.4, 97.42, 97.375
02/26/2019, 97.395, 330114, 97.375, 97.405, 97.37
02/25/2019, 97.365, 193312, 97.37, 97.375, 97.36
02/22/2019, 97.38, 321213, 97.35, 97.395, 97.34
02/21/2019, 97.35, 268777, 97.37, 97.37, 97.34
02/20/2019, 97.36, 251379, 97.36, 97.375, 97.355
02/19/2019, 97.35, 379439, 97.34, 97.365, 97.315
02/15/2019, 97.32, 9417, 97.32, 97.325, 97.32
02/14/2019, 97.335, 311280, 97.305, 97.35, 97.29
02/13/2019, 97.295, 432793, 97.335, 97.34, 97.295
02/12/2019, 97.335, 237687, 97.355, 97.355, 97.325
02/11/2019, 97.35, 226618, 97.37, 97.375, 97.335
02/08/2019, 97.375, 220749, 97.345, 97.38, 97.345
02/07/2019, 97.355, 337666, 97.31, 97.355, 97.31
02/06/2019, 97.31, 253719, 97.315, 97.335, 97.305
02/05/2019, 97.315, 295972, 97.305, 97.325, 97.295
02/04/2019, 97.31, 319263, 97.34, 97.34, 97.295
02/01/2019, 97.34, 479368, 97.395, 97.4, 97.325
01/31/2019, 97.39, 567500, 97.33, 97.405, 97.32
01/30/2019, 97.31, 522387, 97.27, 97.33, 97.245
01/29/2019, 97.27, 227219, 97.255, 97.28, 97.25
01/28/2019, 97.26, 206000, 97.24, 97.265, 97.23
01/25/2019, 97.24, 282439, 97.27, 97.27, 97.225
01/24/2019, 97.27, 234797, 97.25, 97.285, 97.245
01/23/2019, 97.245, 177771, 97.26, 97.27, 97.235
01/22/2019, 97.27, 245917, 97.22, 97.275, 97.215
01/18/2019, 97.215, 9120, 97.22, 97.24, 97.215
01/17/2019, 97.27, 381500, 97.295, 97.315, 97.25
01/16/2019, 97.295, 263401, 97.305, 97.305, 97.265
01/15/2019, 97.31, 353228, 97.305, 97.33, 97.29
01/14/2019, 97.3, 268482, 97.305, 97.35, 97.295
01/11/2019, 97.31, 237466, 97.29, 97.335, 97.29
01/10/2019, 97.3, 314742, 97.315, 97.36, 97.29
01/09/2019, 97.305, 393875, 97.29, 97.32, 97.27
01/08/2019, 97.295, 427030, 97.33, 97.34, 97.285
01/07/2019, 97.355, 416240, 97.365, 97.41, 97.325
01/04/2019, 97.38, 654982, 97.48, 97.495, 97.35
01/03/2019, 97.49, 769476, 97.37, 97.51, 97.33
01/02/2019, 97.33, 290282, 97.345, 97.37, 97.325
12/31/2018, 97.35, 171746, 97.345, 97.365, 97.32
12/28/2018, 97.34, 236512, 97.31, 97.35, 97.285
12/27/2018, 97.335, 256799, 97.26, 97.34, 97.25
12/26/2018, 97.27, 271214, 97.3, 97.33, 97.245
12/24/2018, 97.28, 179998, 97.21, 97.3, 97.21
12/21/2018, 97.195, 358360, 97.15, 97.215, 97.145
12/20/2018, 97.165, 563479, 97.21, 97.215, 97.15
12/19/2018, 97.2, 811216, 97.22, 97.245, 97.14
12/18/2018, 97.205, 564895, 97.155, 97.215, 97.15
12/17/2018, 97.14, 449447, 97.09, 97.16, 97.085
12/14/2018, 97.095, 667727, 97.06, 97.125, 97.06
12/13/2018, 97.065, 288840, 97.055, 97.075, 97.05
12/12/2018, 97.055, 370833, 97.075, 97.08, 97.04
12/11/2018, 97.07, 499155, 97.11, 97.125, 97.065
12/10/2018, 97.115, 792864, 97.11, 97.15, 97.075
12/07/2018, 97.095, 992350, 97.035, 97.105, 97.01
12/06/2018, 97.03, 1511108, 96.985, 97.105, 96.97
12/04/2018, 96.975, 856166, 96.965, 97.005, 96.94
12/03/2018, 96.94, 663835, 96.95, 96.965, 96.92
11/30/2018, 96.975, 319218, 96.975, 96.995, 96.96
11/29/2018, 96.97, 885853, 96.975, 97.01, 96.965
11/28/2018, 96.975, 816295, 96.93, 96.985, 96.92
11/27/2018, 96.93, 297057, 96.935, 96.945, 96.91
11/26/2018, 96.92, 350524, 96.95, 96.95, 96.91
11/23/2018, 96.945, 362042, 96.925, 96.97, 96.915
11/21/2018, 96.925, 771, 96.925, 96.925, 96.92
11/20/2018, 96.945, 507476, 96.96, 96.965, 96.925
11/19/2018, 96.955, 541164, 96.93, 96.965, 96.895
11/16/2018, 96.915, 749164, 96.855, 96.935, 96.835
11/15/2018, 96.85, 611886, 96.85, 96.895, 96.83
11/14/2018, 96.85, 578914, 96.815, 96.88, 96.795
11/13/2018, 96.805, 394181, 96.79, 96.82, 96.77
11/12/2018, 96.78, 105932, 96.76, 96.8, 96.755
11/09/2018, 96.75, 293554, 96.72, 96.76, 96.715
